"","year","age","category","count"
"1",2001,"5 and younger","Aged",0
"2",2001,"6-14","Aged",0
"3",2001,"15-20","Aged",0
"4",2001,"21-44","Aged",0
"5",2001,"45-64","Aged",0
"6",2001,"65-74","Aged",12548
"7",2001,"75-84","Aged",12962
"8",2001,"85 and older","Aged",10335
"9",2001,"Unknown","Aged",0
"10",2001,"5 and younger","Disabled",1586
"11",2001,"6-14","Disabled",3405
"12",2001,"15-20","Disabled",2620
"13",2001,"21-44","Disabled",17094
"14",2001,"45-64","Disabled",19662
"15",2001,"65-74","Disabled",693
"16",2001,"75-84","Disabled",22
"17",2001,"85 and older","Disabled",10
"18",2001,"Unknown","Disabled",0
"19",2001,"5 and younger","Adults",0
"20",2001,"6-14","Adults",0
"21",2001,"15-20","Adults",10854
"22",2001,"21-44","Adults",47803
"23",2001,"45-64","Adults",2594
"24",2001,"65-74","Adults",7
"25",2001,"75-84","Adults",2
"26",2001,"85 and older","Adults",1
"27",2001,"Unknown","Adults",0
"28",2001,"5 and younger","Children",80083
"29",2001,"6-14","Children",63024
"30",2001,"15-20","Children",18692
"31",2001,"21-44","Children",55
"32",2001,"45-64","Children",0
"33",2001,"65-74","Children",0
"34",2001,"75-84","Children",0
"35",2001,"85 and older","Children",0
"36",2001,"Unknown","Children",2
"37",2001,"5 and younger","Other/ Unknown",6
"38",2001,"6-14","Other/ Unknown",11
"39",2001,"15-20","Other/ Unknown",5
"40",2001,"21-44","Other/ Unknown",74
"41",2001,"45-64","Other/ Unknown",9
"42",2001,"65-74","Other/ Unknown",9
"43",2001,"75-84","Other/ Unknown",1
"44",2001,"85 and older","Other/ Unknown",1
"45",2001,"Unknown","Other/ Unknown",0
"46",2002,"5 and younger","Aged",0
"47",2002,"6-14","Aged",0
"48",2002,"15-20","Aged",0
"49",2002,"21-44","Aged",0
"50",2002,"45-64","Aged",1
"51",2002,"65-74","Aged",12452
"52",2002,"75-84","Aged",13182
"53",2002,"85 and older","Aged",10189
"54",2002,"Unknown","Aged",1
"55",2002,"5 and younger","Disabled",1567
"56",2002,"6-14","Disabled",3103
"57",2002,"15-20","Disabled",2656
"58",2002,"21-44","Disabled",16242
"59",2002,"45-64","Disabled",19959
"60",2002,"65-74","Disabled",700
"61",2002,"75-84","Disabled",27
"62",2002,"85 and older","Disabled",7
"63",2002,"Unknown","Disabled",0
"64",2002,"5 and younger","Adults",0
"65",2002,"6-14","Adults",0
"66",2002,"15-20","Adults",11805
"67",2002,"21-44","Adults",52784
"68",2002,"45-64","Adults",2621
"69",2002,"65-74","Adults",6
"70",2002,"75-84","Adults",0
"71",2002,"85 and older","Adults",0
"72",2002,"Unknown","Adults",0
"73",2002,"5 and younger","Children",88484
"74",2002,"6-14","Children",64080
"75",2002,"15-20","Children",19710
"76",2002,"21-44","Children",52
"77",2002,"45-64","Children",1
"78",2002,"65-74","Children",0
"79",2002,"75-84","Children",0
"80",2002,"85 and older","Children",0
"81",2002,"Unknown","Children",2
